2012-5-13,20:00:00,2012-5-13,20:00:00,+4,79,Meters
2012-5-13,20:15:00,2012-5-13,20:15:00,+5,09,Meters
2012-5-13,20:30:00,2012-5-13,20:30:00,+5,40,Meters
2012-5-13,20:45:00,2012-5-13,20:45:00,+5,71,Meters
2012-5-13,21:00:00,2012-5-13,21:00:00,+6,01,Meters
2012-5-13,21:15:00,2012-5-13,21:15:00,+6,31,Meters
2012-5-13,21:30:00,2012-5-13,21:30:00,+6,59,Meters
2012-5-13,21:45:00,2012-5-13,21:45:00,+6,85,Meters
2012-5-13,22:00:00,2012-5-13,22:00:00,+7,08,Meters
2012-5-13,22:15:00,2012-5-13,22:15:00,+7,29,Meters
2012-5-13,22:30:00,2012-5-13,22:30:00,+7,46,Meters
2012-5-13,22:45:00,2012-5-13,22:45:00,+7,60,Meters
2012-5-13,23:00:00,2012-5-13,23:00:00,+7,70,Meters
2012-5-13,23:15:00,2012-5-13,23:15:00,+7,76,Meters
2012-5-13,23:30:00,2012-5-13,23:30:00,+7,78,Meters
2012-5-13,23:45:00,2012-5-13,23:45:00,+7,76,Meters
2012-5-14,00:00:00,2012-5-14,00:00:00,+7,69,Meters
2012-5-14,00:15:00,2012-5-14,00:15:00,+7,59,Meters
2012-5-14,00:30:00,2012-5-14,00:30:00,+7,45,Meters
2012-5-14,00:45:00,2012-5-14,00:45:00,+7,27,Meters
2012-5-14,01:00:00,2012-5-14,01:00:00,+7,06,Meters
2012-5-14,01:15:00,2012-5-14,01:15:00,+6,82,Meters
2012-5-14,01:30:00,2012-5-14,01:30:00,+6,55,Meters
2012-5-14,01:45:00,2012-5-14,01:45:00,+6,26,Meters
2012-5-14,02:00:00,2012-5-14,02:00:00,+5,96,Meters
2012-5-14,02:15:00,2012-5-14,02:15:00,+5,64,Meters
2012-5-14,02:30:00,2012-5-14,02:30:00,+5,32,Meters
2012-5-14,02:45:00,2012-5-14,02:45:00,+5,00,Meters
2012-5-14,03:00:00,2012-5-14,03:00:00,+4,69,Meters
2012-5-14,03:15:00,2012-5-14,03:15:00,+4,39,Meters
2012-5-14,03:30:00,2012-5-14,03:30:00,+4,11,Meters
2012-5-14,03:45:00,2012-5-14,03:45:00,+3,84,Meters
2012-5-14,04:00:00,2012-5-14,04:00:00,+3,60,Meters
2012-5-14,04:15:00,2012-5-14,04:15:00,+3,38,Meters
2012-5-14,04:30:00,2012-5-14,04:30:00,+3,20,Meters
2012-5-14,04:45:00,2012-5-14,04:45:00,+3,04,Meters
2012-5-14,05:00:00,2012-5-14,05:00:00,+2,92,Meters
2012-5-14,05:15:00,2012-5-14,05:15:00,+2,83,Meters
2012-5-14,05:30:00,2012-5-14,05:30:00,+2,77,Meters
2012-5-14,05:45:00,2012-5-14,05:45:00,+2,75,Meters
2012-5-14,06:00:00,2012-5-14,06:00:00,+2,76,Meters
2012-5-14,06:15:00,2012-5-14,06:15:00,+2,80,Meters
2012-5-14,06:30:00,2012-5-14,06:30:00,+2,88,Meters
2012-5-14,06:45:00,2012-5-14,06:45:00,+2,99,Meters
2012-5-14,07:00:00,2012-5-14,07:00:00,+3,13,Meters
2012-5-14,07:15:00,2012-5-14,07:15:00,+3,29,Meters
2012-5-14,07:30:00,2012-5-14,07:30:00,+3,49,Meters
2012-5-14,07:45:00,2012-5-14,07:45:00,+3,71,Meters
2012-5-14,08:00:00,2012-5-14,08:00:00,+3,96,Meters
2012-5-14,08:15:00,2012-5-14,08:15:00,+4,22,Meters
2012-5-14,08:30:00,2012-5-14,08:30:00,+4,50,Meters
2012-5-14,08:45:00,2012-5-14,08:45:00,+4,79,Meters
2012-5-14,09:00:00,2012-5-14,09:00:00,+5,09,Meters
2012-5-14,09:15:00,2012-5-14,09:15:00,+5,39,Meters
2012-5-14,09:30:00,2012-5-14,09:30:00,+5,68,Meters
2012-5-14,09:45:00,2012-5-14,09:45:00,+5,97,Meters
2012-5-14,10:00:00,2012-5-14,10:00:00,+6,24,Meters
2012-5-14,10:15:00,2012-5-14,10:15:00,+6,50,Meters
2012-5-14,10:30:00,2012-5-14,10:30:00,+6,73,Meters
2012-5-14,10:45:00,2012-5-14,10:45:00,+6,93,Meters
2012-5-14,11:00:00,2012-5-14,11:00:00,+7,11,Meters
2012-5-14,11:15:00,2012-5-14,11:15:00,+7,25,Meters
2012-5-14,11:30:00,2012-5-14,11:30:00,+7,35,Meters
2012-5-14,11:45:00,2012-5-14,11:45:00,+7,42,Meters
2012-5-14,12:00:00,2012-5-14,12:00:00,+7,44,Meters
2012-5-14,12:15:00,2012-5-14,12:15:00,+7,43,Meters
2012-5-14,12:30:00,2012-5-14,12:30:00,+7,39,Meters
2012-5-14,12:45:00,2012-5-14,12:45:00,+7,30,Meters
2012-5-14,13:00:00,2012-5-14,13:00:00,+7,19,Meters
2012-5-14,13:15:00,2012-5-14,13:15:00,+7,04,Meters
2012-5-14,13:30:00,2012-5-14,13:30:00,+6,86,Meters
